"region","category","bk_2015","source","method"
"SE","white","0.2-0.4","Freire","zbrt"
"S","white","0.2-0.4","Freire","zbrt"
"NE","white","0.4-0.6","Freire","zbrt"
"N","white","0.2-0.4","Freire","zbrt"
"SE","seabob","0.2-0.4","Freire","zbrt"
"S","seabob","0.2-0.4","Freire","zbrt"
"NE","seabob","0.6-0.8","Freire","zbrt"
"N","seabob","0.2-0.4","Freire","zbrt"
"S","pink","0.2-0.4","Freire","zbrt"
"NE","brown","0.2-0.4","Freire","zbrt"
"N","brown","0.5-0.7","Freire","zbrt"
"SE","white","0.2-0.4","Silva","zbrt"
"S","white","0.2-0.4","Silva","zbrt"
"NE","white","0.2-0.4","Silva","zbrt"
"N","white","0.2-0.4","Silva","zbrt"
"SE","seabob","0.2-0.4","Silva","zbrt"
"S","seabob","0.2-0.4","Silva","zbrt"
"NE","seabob","0.4-0.6","Silva","zbrt"
"N","seabob","0.2-0.4","Silva","zbrt"
"SE","pink","0.2-0.4","Silva","zbrt"
"S","pink","0.2-0.4","Silva","zbrt"
"NE","brown","0.4-0.6","Silva","zbrt"
"N","brown","0.5-0.7","Silva","zbrt"
"SE","seabob","0.3-0.5","Fernandes et al. (2014)","Literature"
"NE","seabob","0.4-0.6","Lopes et al. (2014)","Literature"
"N","brown","0.4-0.6","Aragão et al. (2015)","Literature"
"SE","seabob","0.3-0.5","(D Incao et al., 2002)","Literature"
"S","seabob","0.3-0.5","(D Incao et al., 2002)","Literature"
"SE","seabob","0.3-0.5","Matsuura (1995)","Literature"
"S","seabob","0.3-0.5","Matsuura (1995)","Literature"
"SE","seabob","0.3-0.5","Vasconcellos et al. (2011)","Literature"
"S","seabob","0.3-0.5","Vasconcellos et al. (2011)","Literature"
"N","seabob","0.5-0.7","Vasconcellos et al. (2007)","Literature"
"NE","seabob","0.4-0.6","Vasconcellos et al. (2007)","Literature"
"SE","seabob","0.3-0.5","Vasconcellos et al. (2007)","Literature"
"S","seabob","0.3-0.5","Vasconcellos et al. (2007)","Literature"
"SE","white","0.4-0.6","Carvalho (2013)","Literature"
"NE","white","0.4-0.6","Lopes et al. (2014)","Literature"
"NE","brown","0.4-0.6","Lopes et al. (2014)","Literature"
"NE","seabob","0.4-0.6","Lopes et al. (2014)","Literature"
"NE","white","0.4-0.6"," Silva et al. (2015)","Literature"
"NE","brown","0.4-0.6"," Silva et al. (2015)","Literature"
"NE","seabob","0.4-0.6"," Silva et al. (2015)","Literature"
"SE","pink","0.3-0.5","SUDEPE-PDP (1987)","Literature"
"S","pink","0.3-0.5","SUDEPE-PDP (1987)","Literature"
"SE","pink","0.4-0.6","SUDEPE-PDP (1987)","Literature"
"S","pink","0.5-0.7","SUDEPE-PDP (1987)","Literature"
"SE","pink","0.3-0.5","(D Incao et al., 2002)","Literature"
"S","pink","0.3-0.5","(D Incao et al., 2002)","Literature"
"SE","pink","0.3-0.5","(D Incao et al., 2002)","Literature"
"S","pink","0.3-0.5","(D Incao et al., 2002)","Literature"
"NE","brown","0.4-0.6","Silva et al. (2015)","Literature"
"NE","white","0.4-0.6"," Silva et al. (2019)","Literature"
"SE","white","0.3-0.5","Carvalho et al (2021)","Literature"
"N","white","0.2-0.4","zbrt replaced","Literature"
"S","white","0.2-0.4","zbrt replaced","Literature"
